Week_Start,Deep_Dive,Shipping,Uncategorized,Total_CT,DD_Percentage,S_Percentage,DD_S_Ratio
2025-12-28,2.38,3.67,2.0700000000000003,6.05,39.3,60.7,39:60
2026-01-04,0.0,4.0,0.17,4.0,0.0,100.0,0:100
