Date,Task,Notes,Hours,Week_Start,Week_Number,Year,Time_Type,CT_Category,CT_Type,VT_Category,Day_Number,Notes_Clean,Month,Day_of_Week
2025-12-08,MASTERY: Data Engineering Bootcamp,day 1 -,1.32,2025-12-07,1,2025,CT,Data_Engineering,Pre_Classification,,,day 1 -,2025-12,Monday
2025-12-08,BUILDING PROJECTS: Video editing,editing day 0,2.95,2025-12-07,1,2025,VT,,,Editing,0.0,editing day 0,2025-12,Monday
2025-12-08,BUILDING PROJECTS: Video Script Writing,day 1 audio check,0.18,2025-12-07,1,2025,VT,,,Scripting,1.0,day 1 audio check,2025-12,Monday
2025-12-08,MASTERY: Python Bootcamp,python day 5,3.74,2025-12-07,1,2025,CT,Python,Pre_Classification,,,python day 5,2025-12,Monday
2025-12-09,MASTERY: SQL Bootcamp,day 4:,2.81,2025-12-07,1,2025,CT,SQL,Pre_Classification,,,day 4:,2025-12,Tuesday
2025-12-09,BUILDING PROJECTS: Video editing,day 1 edit,4.98,2025-12-07,1,2025,VT,,,Editing,1.0,day 1 edit,2025-12,Tuesday
2025-12-10,MASTERY: SQL Bootcamp,day 5: JOINS,2.72,2025-12-07,1,2025,CT,SQL,Pre_Classification,,,day 5: JOINS,2025-12,Wednesday
2025-12-10,BUILDING PROJECTS: Video Script Writing,Writing Notes: reviewing day 2 and putting into repeatable format,0.88,2025-12-07,1,2025,VT,,,Scripting,2.0,Writing Notes: reviewing day 2 and putting into repeatable format,2025-12,Wednesday
2025-12-10,BUILDING PROJECTS: Video filming,reviewing screen records for day 2,1.25,2025-12-07,1,2025,VT,,,Filming,2.0,reviewing screen records for day 2,2025-12,Wednesday
2025-12-10,MASTERY: Python Bootcamp,learning how to host my programs,0.16,2025-12-07,1,2025,CT,Python,Pre_Classification,,,learning how to host my programs,2025-12,Wednesday
2025-12-10,BUILDING PROJECTS: Video filming,editing day 2,3.32,2025-12-07,1,2025,VT,,,Filming,2.0,editing day 2,2025-12,Wednesday
2025-12-10,BUILDING PROJECTS: Video filming,recording audio,0.77,2025-12-07,1,2025,VT,,,Filming,,recording audio,2025-12,Wednesday
2025-12-11,BUILDING PROJECTS: Video Script Writing,figuring out the sabbath day piece,0.48,2025-12-07,1,2025,VT,,,Scripting,,figuring out the sabbath day piece,2025-12,Thursday
2025-12-11,MASTERY: Python Bootcamp,day 7 (I am actually on Day9):,2.89,2025-12-07,1,2025,CT,Python,Pre_Classification,,,day 7 (I am actually on Day9):,2025-12,Thursday
2025-12-11,BUILDING PROJECTS: Video Script Writing,reviewing what was done today (day7) and day 3,0.47,2025-12-07,1,2025,VT,,,Scripting,7.0,reviewing what was done today (day7) and day 3,2025-12,Thursday
2025-12-11,BUILDING PROJECTS: Video editing,day 3,2.84,2025-12-07,1,2025,VT,,,Editing,3.0,day 3,2025-12,Thursday
2025-12-11,BUILDING PROJECTS: Video filming,DAY 3 recording V/O audio and audio design,2.28,2025-12-07,1,2025,VT,,,Filming,,DAY 3 recording V/O audio and audio design,2025-12,Thursday
2025-12-12,MASTERY: Python Bootcamp,Studying in the car,0.48,2025-12-07,1,2025,CT,Python,Pre_Classification,,,Studying in the car,2025-12,Friday
2025-12-12,BUILDING PROJECTS: Video filming,Recording audio for short day 4,1.0,2025-12-07,1,2025,VT,,,Filming,4.0,Recording audio for short day 4,2025-12,Friday
